1,4043,4
1,23,5
1,2333,5
5,343,5
5,34,5
1,4444,5
1,345,5
1,2427,1
1,4103,4
1,1246,2
1,322,2
1,2805,2
1,3146,3
1,1459,3
1,3417,5
1,2770,2
1,1167,1
1,3937,3
1,933,3
1,3419,5
1,3114,1
1,3874,4
1,3348,2
1,446,3
1,3802,5
1,2331,5
1,1724,1
1,235,5
1,4446,3
2,3127,2
2,4215,2
2,1075,3
2,4296,3
2,326,5
2,2589,5
2,3200,2
2,3818,1
2,4571,4
2,2671,4
2,1593,2
2,1203,2
3,4654,3
3,731,4
3,3324,5
3,2676,4
3,2312,5
3,2540,3
3,2715,2
3,2747,4
3,3172,5
4,2073,5
4,2335,5
4,4274,2
4,2816,4
4,1708,2
4,1424,2
4,1423,4
4,2803,2
4,4718,4
4,1933,4
4,1191,1
4,2840,3
4,1571,3
4,916,5
4,710,1
4,2624,1
4,3911,3
4,90,2
5,1716,5
5,4744,5
5,3279,2
5,4317,3
5,2986,3
5,537,2
5,3146,1
5,1668,1
5,1035,5
5,1150,1
5,3892,4
5,4216,1
5,4201,1
5,1725,5
5,1341,3
5,107,2
5,454,1
5,1261,1
6,1885,1
6,2300,1
6,4264,2
6,3806,4
6,1466,1
6,994,3
6,1894,5
6,838,2
6,4794,2
6,761,1
6,2375,4
6,3240,3
7,2125,5
7,4450,2
7,1956,3
7,3465,4
7,4650,2
7,1918,2
7,2955,4
7,379,1
7,3119,2
8,1330,5
8,3873,5
8,3423,4
8,1189,4
8,305,2
8,249,2
8,2260,5
8,3760,5
8,643,5
8,1918,2
8,1981,4
8,3302,4
9,3054,5
9,4662,1
9,2894,5
9,4412,3
9,77,5
9,1224,2
9,4618,2
9,1728,1
9,1534,5
9,2836,1
9,477,4
9,1520,4
9,4564,4
9,3039,4
9,1697,2
9,231,2
9,1164,1
9,4095,4
9,3956,5
9,3399,2
9,2566,4
9,1019,2
9,4073,4
9,2804,1
10,2826,2
10,2252,3
10,880,1
10,10,1
10,2112,3
10,872,4
10,225,4
10,143,2
10,4025,3
10,3526,5
10,3117,1
10,2137,4
10,2139,4
10,434,2
10,4755,5
10,2618,3
10,4451,5
10,983,5
11,3134,5
11,1781,1
11,1238,5
11,2258,3
11,1111,4
11,3452,2
11,4774,5
11,2623,1
11,4778,5
11,1855,3
11,4204,4
11,4296,4
11,2919,5
11,3746,3
11,1127,2
12,2562,4
12,3842,4
12,1890,4
12,1946,3
12,3595,5
12,4140,4
12,369,1
12,2001,4
12,4787,4
12,386,5
12,1739,4
12,339,2
12,351,5
12,983,3
12,3947,2
12,543,2
12,3435,5
12,4462,1
12,1809,4
12,986,1
12,1460,5
12,2429,2
12,822,3
12,616,2
13,3856,2
13,2040,2
13,516,1
13,1107,1
13,340,1
13,2864,1
